,Country,Total_Death,HealthCare_Spending
0,Afghanistan,55986,383
1,Albania,25256,1186
2,Algeria,48167,547
3,Andorra,1113,5641
4,Angola,13559,217
5,Antigua and Barbuda,1022,1436
6,Argentina,915530,2664
7,Armenia,61495,1824
8,Australia,177184,7072
9,Austria,157738,7891
10,Azerbaijan,72471,699
11,Bahrain,10752,2257
12,Bangladesh,206638,179
13,Barbados,4151,1172
14,Belarus,49826,1511
15,Belgium,240373,7388
16,Benin,1141,106
17,Bhutan,147,600
18,Bolivia,156723,831
19,Bosnia and Herzegovina,114842,1827
20,Brazil,4923259,1696
21,Brunei,1274,1242
22,Bulgaria,271369,2570
23,Burkina Faso,2800,174
24,Cambodia,21392,333
25,Cameroon,13818,202
26,Canada,389291,6813
27,Cape Verde,2919,664
28,Central African Republic,791,109
29,Chad,1358,94
30,Chile,464675,3287
31,China,857251,1136
32,Colombia,999536,1674
33,Costa Rica,65702,1917
34,Croatia,131565,3055
35,Cuba,59710,2884
36,Cyprus,9548,4813
37,Denmark,70084,7012
38,Djibouti,1323,154
39,Dominica,518,931
40,Dominican Republic,30688,1044
41,Ecuador,252420,989
42,Egypt,173810,700
43,El Salvador,29610,1085
44,Equatorial Guinea,4557,466
45,Eritrea,721,87
46,Estonia,22092,3409
47,Eswatini,9989,762
48,Ethiopia,53018,79
49,Fiji,6195,590
50,Finland,80262,6048
51,France,1175895,6853
52,Gabon,2149,461
53,Georgia,120057,1456
54,Germany,1224841,7758
55,Ghana,10241,242
56,Greece,280756,3298
57,Grenada,1666,919
58,Guatemala,141442,783
59,Guinea,10696,116
60,Guyana,9184,1229
61,Haiti,6020,107
62,Honduras,77717,557
63,Hungary,343868,2770
64,Iceland,1302,6475
65,India,3736929,273
66,Indonesia,1134441,390
67,Iran,1027859,966
68,Iraq,177625,466
69,Ireland,69125,8298
70,Israel,88949,4009
71,Italy,1389661,4935
72,Jamaica,25425,925
73,Japan,522766,5387
74,Jordan,98854,767
75,Kazakhstan,133504,1129
76,Kenya,39823,248
77,Kuwait,17990,2415
78,Kyrgyzstan,7168,311
79,Latvia,53487,3139
80,Lebanon,76629,653
81,Liberia,2065,224
82,Lithuania,69188,3523
83,Luxembourg,7000,8175
84,Madagascar,9996,56
85,Malaysia,261457,1281
86,Maldives,2212,2454
87,Malta,6573,5760
88,Mauritania,6979,274
89,Mauritius,7518,1554
90,Mexico,2345287,1353
91,Moldova,86023,1095
92,Monaco,469,8765
93,Mongolia,14952,1267
94,Montenegro,18578,3107
95,Morocco,114135,553
96,Mozambique,15764,131
97,Namibia,28770,930
98,Nepal,84238,323
99,Netherlands,160902,7576
100,New Zealand,31766,5214
101,Nicaragua,1715,636
102,Niger,2205,68
103,Nigeria,22085,245
104,North Macedonia,69937,1815
105,Norway,40124,9927
106,Oman,32396,1178
107,Pakistan,214592,179
108,Panama,61600,3332
109,Papua New Guinea,8176,115
110,Paraguay,139160,1247
111,Peru,1547420,942
112,Philippines,468068,569
113,Poland,846867,3402
114,Portugal,206668,4452
115,Qatar,4830,2318
116,Romania,483273,2472
117,Russia,2830030,2446
118,Rwanda,10276,222
119,Saint Lucia,2870,883
120,Saint Vincent and the Grenadines,868,820
121,San Marino,882,5880
122,Saudi Arabia,67522,3102
123,Senegal,13804,168
124,Serbia,126399,2373
125,Seychelles,1204,1561
126,Singapore,14168,6658
127,Slovakia,148974,3169
128,Slovenia,69398,5035
129,Somalia,9527,44
130,South Africa,718165,1341
131,South Korea,251536,5350
132,Spain,852964,4776
133,Sri Lanka,118387,611
134,Sudan,36351,122
135,Suriname,9842,1043
136,Sweden,202601,7659
137,Switzerland,99190,10668
138,Syria,22141,454
139,Tanzania,5922,93
140,Thailand,245364,1107
141,Timor-Leste,966,341
142,Togo,2030,149
143,Trinidad and Tobago,30730,1811
144,Tunisia,205961,885
145,Turkey,709933,1387
146,Uganda,25424,127
147,Ukraine,769503,1095
148,United Arab Emirates,16443,3814
149,United Kingdom,1624784,6372
150,Uruguay,53860,2568
151,Uzbekistan,7112,716
152,Venezuela,40992,131
153,Vietnam,302442,611
154,Zambia,28546,208
155,Zimbabwe,40180,96
