Province/State,Country/Region,lat,long,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed
,Afghanistan,33.0,65.0,38928346,9732086,60,18,-999.0,-999,-999.0,60.0,0.5
,Albania,41.1533,20.1683,2877797,1813012,105,36,846072.318,-999,-999.0,266.0,2.9
,Algeria,28.0339,1.6596,43851044,32011262,18,29,6840762.864,-999,-999.0,292.0,1.9
,Andorra,42.5063,1.5218,77265,67993,164,45,25111.125,-999,-999.0,4316.0,2.5
,Angola,-11.2027,17.8739,29780000,-999,-999,-999,-999.0,-999,-999.0,109.0,-999.0
,Antigua and Barbuda,17.0608,-61.7964,97929,25461,223,34,-999.0,-999,-999.0,657.0,3.8
,Argentina,-38.4161,-63.6167,45195774,42032069,17,32,10824387.87,-999,-999.0,998.0,5.0
,Armenia,40.0691,45.0382,2963243,1866843,104,35,797112.367,694,4269.802594,366.0,4.2
,Austria,47.5162,14.5501,9006398,5133646,109,43,3165748.897,10278,876.2792372,4536.0,7.6
,Azerbaijan,40.1431,47.5769,10139177,5677939,123,32,2377637.006,-999,-999.0,368.0,4.7
,Bahrain,26.0275,50.55,1701575,1514401,2239,32,231414.2,13553,125.5496938,1190.0,6.8
,Bangladesh,23.685,90.3563,164689383,64228859,1265,28,33349600.06,-999,-999.0,32.0,0.8
,Barbados,13.1939,-59.5432,287375,89086,668,40,20116.25,-999,-999.0,1160.0,5.8
,Belarus,53.7098,27.9534,9449323,7464965,47,40,2683607.732,16000,590.5826875,352.0,11.0
,Belgium,50.8333,4.0,11589623,11357830,383,42,2694587.348,4225,2743.106036,4228.0,6.2
,Benin,9.3077,2.3158,12123200,5819136,108,19,1133519.2,-999,-999.0,31.0,0.5
,Bhutan,27.5142,90.4336,771608,354939,20,28,217593.456,-999,-999.0,91.0,1.7
,Bolivia,-16.2902,-63.5887,11673021,8054384,11,26,2778178.998,-999,-999.0,197.0,1.1
,Bosnia and Herzegovina,43.9159,17.6791,3280819,1706025,64,43,1266396.134,-999,-999.0,431.0,3.5
,Brazil,-14.235,-51.9253,212559417,187052286,25,33,32521590.8,2927,72620.23129,780.0,2.2
,Brunei,4.5353,114.7277,437479,349983,83,32,70871.598,-999,-999.0,,2.7
,Bulgaria,42.7339,25.4858,6948445,5280818,64,45,2452801.085,-999,-999.0,572.0,6.8
,Burkina Faso,12.2383,-1.5616,20903273,6480014,76,18,4232912.783,-999,-999.0,33.0,0.4
